"ID","time","x","y"
"T172062-1","2017-08-08 00:20:00",-80.6525000000016,72.2728000000003
"T172062-1","2017-08-08 00:30:00",-80.6595839474024,72.2733638488866
"T172062-1","2017-08-08 00:40:00",-80.6656230546389,72.2724184855714
"T172062-1","2017-08-08 00:50:00",-80.6687912273755,72.2685234019098
"T172062-1","2017-08-08 01:00:00",-80.6703167272941,72.2624045094978
"T172062-1","2017-08-08 01:10:00",-80.6675932597033,72.257973520569
"T172062-1","2017-08-08 01:20:00",-80.6608558238256,72.2573534857464
"T172062-1","2017-08-08 01:30:00",-80.6590226459939,72.2561328204368
"T172062-1","2017-08-08 01:40:00",-80.6564161633804,72.2544055798301
"T172062-1","2017-08-08 01:50:00",-80.6556787032255,72.2535887746109
"T172062-1","2017-08-08 02:00:00",-80.6562652817451,72.2542955030405
"T172062-1","2017-08-08 02:10:00",-80.6533151718239,72.2564002010473
"T172062-1","2017-08-08 02:20:00",-80.6414050969387,72.2582131377924
"T172062-1","2017-08-08 02:30:00",-80.6264510054476,72.2575749923007
"T172062-1","2017-08-08 02:40:00",-80.6167751496675,72.2539193145676
"T172062-1","2017-08-08 02:50:00",-80.6055127479374,72.2478423497914
"T172062-1","2017-08-08 03:00:00",-80.5920122275815,72.2414065417469
"T172062-1","2017-08-08 03:10:00",-80.5790830833377,72.2364930860998
"T172062-1","2017-08-08 03:20:00",-80.5762244661777,72.2303570553601
"T172062-1","2017-08-08 03:30:00",-80.5741971185223,72.2241477937264
"T172062-1","2017-08-08 03:40:00",-80.5686311236573,72.2186906962871
"T172062-1","2017-08-08 03:50:00",-80.5698240679133,72.2111151607398
"T172062-1","2017-08-08 04:00:00",-80.5725279114603,72.201863179417
"T172062-1","2017-08-08 04:10:00",-80.5704218281599,72.1915644060203
"T172062-1","2017-08-08 04:20:00",-80.5599000000015,72.1813000000003
"T172062-1","2017-08-08 04:30:00",-80.549298210537,72.1734194101045
"T172062-1","2017-08-08 04:40:00",-80.5395350962223,72.1661205277018
"T172062-1","2017-08-08 04:50:00",-80.5313632158307,72.1584055043176
"T172062-1","2017-08-08 05:00:00",-80.5247587660729,72.1499924697127
"T172062-1","2017-08-08 05:10:00",-80.5176304745661,72.1409128818594
"T172062-1","2017-08-08 05:20:00",-80.5049008611506,72.1330392929362
"T172062-1","2017-08-08 05:30:00",-80.4931258468184,72.1248713629226
"T172062-1","2017-08-08 05:40:00",-80.4908190193252,72.1148052169568
"T172062-1","2017-08-08 05:50:00",-80.4945236923751,72.105663119191
"T172062-1","2017-08-08 06:00:00",-80.5002000000016,72.0977000000003
"T172062-1","2017-08-08 06:10:00",-80.5043646235905,72.0899954828217
"T172062-1","2017-08-08 06:20:00",-80.5042140318408,72.0801267613387
"T172062-1","2017-08-08 06:30:00",-80.4980493431624,72.0710007051207
"T172062-1","2017-08-08 06:40:00",-80.4933102187752,72.0633602898856
"T172062-1","2017-08-08 06:50:00",-80.4937242542652,72.0567211752224
"T172062-1","2017-08-08 07:00:00",-80.4993882019705,72.0513096233753
"T172062-1","2017-08-08 07:10:00",-80.5105635907372,72.0473969219148
"T172062-1","2017-08-08 07:20:00",-80.5265601761594,72.0447875237794
"T172062-1","2017-08-08 07:30:00",-80.5419851226393,72.0411953322486
"T172062-1","2017-08-08 07:40:00",-80.5563542483621,72.0369373171546
"T172062-1","2017-08-08 07:50:00",-80.5683945243345,72.0326739195695
"T172062-1","2017-08-08 08:00:00",-80.5764482665757,72.0286056752344
"T172062-1","2017-08-08 08:10:00",-80.5847788150936,72.0254840930829
"T172062-1","2017-08-08 08:20:00",-80.5951289124772,72.0238130700845
"T172062-1","2017-08-08 08:30:00",-80.6075000000016,72.0230000000003
"T172062-1","2017-08-08 08:40:00",-80.6217000000015,72.0218000000003
"T172062-1","2017-08-08 08:50:00",-80.633056304269,72.0205705131517
"T172062-1","2017-08-08 09:00:00",-80.641778731634,72.0196694732882
"T172062-1","2017-08-08 09:10:00",-80.6496193526089,72.0193537394054
