time,x,y,u10,v10
2011-04-06 15:30,-84.496024,57.926621,0.471101407,-1.181389351
2011-04-06 16:00,-84.495989,57.926192,0.320447333,-0.971546078
2011-04-06 16:30,-84.495865,57.925508,0.113506581,-0.705639051
2011-04-06 17:00,-84.495697,57.924548,-0.093434171,-0.439732025
2011-04-06 17:30,-84.495021,57.923261,-0.309048859,-0.121615689
2011-04-06 18:00,-84.493831,57.92167,-0.524663548,0.196500647
2011-04-06 18:30,-84.492123,57.919952,-0.352767662,0.15453201
2011-04-06 19:00,-84.490362,57.918143,-0.180871777,0.112563372
2011-04-06 19:30,-84.488302,57.916333,1.756342143,-1.414927465
2011-04-06 20:00,-84.485932,57.914656,3.693556063,-2.942418302
2011-04-06 20:30,-84.48368,57.913248,3.785051077,-2.769893354
2011-04-06 21:00,-84.481577,57.912127,3.876546091,-2.597368406
2011-04-06 21:30,-84.475658,57.920064,3.82499248,-2.547394603
2011-04-06 22:00,-84.47699,57.930726,3.773438869,-2.4974208
2011-04-06 22:30,-84.478761,57.941035,3.5710396,-2.367405009
2011-04-06 23:00,-84.47564,57.955311,3.36864033,-2.237389219
2011-04-06 23:30,-84.473916,57.96824,3.012502899,-2.133740629
2011-04-07 0:00,-84.473558,57.969568,2.656365467,-2.03009204
2011-04-07 0:30,-84.476313,57.973062,2.22289806,-1.802337014
2011-04-07 1:00,-84.497675,57.980525,1.789430652,-1.574581988
2011-04-07 1:30,-84.525358,57.992864,1.270532858,-1.221947504
2011-04-07 2:00,-84.530821,57.994286,0.751635063,-0.86931302
2011-04-07 2:30,-84.53936,57.991339,0.492577731,-0.408217108
2011-04-07 3:00,-84.528399,57.998639,0.233520399,0.052878805
2011-04-07 3:30,-84.529009,58.000055,-0.286880267,0.589507009
2011-04-07 4:00,-84.542408,57.99661,-0.807280933,1.126135213
2011-04-07 4:30,-84.549136,57.988373,-0.942453329,1.624055235
2011-04-07 5:00,-84.564742,57.989714,-1.077625725,2.121975256
2011-04-07 5:30,-84.566659,57.99002,-0.975362834,2.569365464
2011-04-07 6:00,-84.57663,57.98817,-0.873099944,3.016755671
2011-04-07 6:30,-84.567989,57.984006,-0.750282933,3.305410864
2011-04-07 7:00,-84.574646,57.980138,-0.627465922,3.594066057
2011-04-07 7:30,-84.574861,57.979797,-0.513627502,3.707987767
2011-04-07 8:00,-84.574721,57.979414,-0.399789083,3.821909477
2011-04-07 8:30,-84.574306,57.979102,-0.460603152,3.834361285
2011-04-07 9:00,-84.573461,57.978767,-0.521417222,3.846813093
2011-04-07 9:30,-84.572143,57.978727,-0.841369586,3.826885327
2011-04-07 10:00,-84.57059,57.97887,-1.16132195,3.806957561
2011-04-07 10:30,-84.56888,57.979187,-0.886833988,3.957408875
2011-04-07 11:00,-84.567093,57.979834,-0.612346026,4.107860189
2011-04-07 11:30,-84.565526,57.980822,-0.618136345,3.971302855
2011-04-07 12:00,-84.564292,57.98211,-0.623926663,3.83474552
2011-04-07 12:30,-84.563413,57.983788,-0.733220576,3.761956466
2011-04-07 13:00,-84.565776,57.983794,-0.842514488,3.689167411
2011-04-07 13:30,-84.561083,57.984051,-1.089534626,3.670448867
2011-04-07 14:00,-84.561853,57.986339,-1.336554764,3.651730323
2011-04-07 14:30,-84.562195,57.988631,-2.17851667,4.550260963
2011-04-07 15:00,-84.561554,57.991211,-3.020478577,5.448791604
2011-04-07 15:30,-84.559534,57.994922,-2.957959974,5.724457095
2011-04-07 16:00,-84.561234,57.992803,-2.895441371,6.000122586
2011-04-07 16:30,-84.576503,57.986169,-2.828931112,6.231390708
2011-04-07 17:00,-84.580818,57.986408,-2.762420852,6.46265883
2011-04-07 17:30,-84.582661,57.988193,-2.669623832,6.588574811
2011-04-07 18:00,-84.587882,57.987671,-2.576826812,6.714490792
2011-04-07 18:30,-84.598725,57.981859,-2.480221634,6.725897157
2011-04-07 19:00,-84.610053,57.98181,-2.383616455,6.737303522
2011-04-07 19:30,-84.611383,57.982456,-2.236591141,6.772346269
2011-04-07 20:00,-84.611717,57.983641,-2.089565827,6.807389016
2011-04-07 20:30,-84.628506,57.976918,-1.889976239,6.466181124
2011-04-07 21:00,-84.653962,57.974234,-1.69038665,6.124973232
2011-04-07 21:30,-84.665954,57.970954,-1.559070139,5.863114028
2011-04-07 22:00,-84.676547,57.969285,-1.427753628,5.601254823
2011-04-07 22:30,-84.674372,57.970627,-1.367390496,5.306190701
2011-04-07 23:00,-84.672232,57.972104,-1.307027364,5.01112658
2011-04-07 23:30,-84.670125,57.973633,-1.412152613,4.895799312
2011-04-08 0:00,-84.669681,57.971193,-1.517277862,4.780472044
2011-04-08 0:30,-84.672385,57.971961,-1.610260225,4.784288743
2011-04-08 1:00,-84.671695,57.973981,-1.703242588,4.788105443
2011-04-08 1:30,-84.678613,57.976173,-1.726237601,4.812455918
2011-04-08 2:00,-84.67665,57.986821,-1.749232615,4.836806393
2011-04-08 2:30,-84.663165,57.999633,-1.631190755,4.852020183
2011-04-08 3:00,-84.646356,58.00771,-1.513148894,4.867233973
2011-04-08 3:30,-84.633679,57.993039,-1.34469284,4.738446251
2011-04-08 4:00,-84.610116,57.999199,-1.176236786,4.609658529
2011-04-08 4:30,-84.603728,58.003927,-0.988358114,4.446144278
2011-04-08 5:00,-84.581345,58.010178,-0.800479442,4.282630028
2011-04-08 5:30,-84.553933,58.019978,-0.717763237,4.243844554
2011-04-08 6:00,-84.539491,58.01351,-0.635047031,4.205059081
2011-04-08 6:30,-84.54022,58.013986,-0.533627831,4.204793747
2011-04-08 7:00,-84.536685,58.018313,-0.432208631,4.204528414
2011-04-08 7:30,-84.525139,58.017557,-0.270502361,4.194912666
2011-04-08 8:00,-84.504008,58.020633,-0.108796092,4.185296917
2011-04-08 8:30,-84.498064,58.02068,0.008871141,4.105067774
2011-04-08 9:00,-84.497158,58.02101,0.126538373,4.024838632
2011-04-08 9:30,-84.495713,58.0215,-0.238328186,3.258775889
2011-04-08 10:00,-84.493656,58.022121,-0.603194746,2.492713146
2011-04-08 10:30,-84.491169,58.022906,-0.901876515,1.000973938
2011-04-08 11:00,-84.488596,58.023996,-1.200558285,-0.490765269
2011-04-08 11:30,-84.466082,58.025984,-1.095117656,-0.670196405
2011-04-08 12:00,-84.443891,58.029802,-0.989677027,-0.849627541
2011-04-08 12:30,-84.421982,58.026598,-1.067037758,-0.91142372
2011-04-08 13:00,-84.398139,58.030419,-1.14439849,-0.973219898
2011-04-08 13:30,-84.393902,58.033551,-1.264197168,-0.945890239
2011-04-08 14:00,-84.382915,58.034262,-1.383995846,-0.918560579
2011-04-08 14:30,-84.372172,58.040973,-1.444368492,-0.700482975
