time,x,y
2011-04-08 0:30,-84.672385,57.971961
2011-04-08 1:00,-84.671695,57.973981
2011-04-08 1:30,-84.678613,57.976173
2011-04-08 2:00,-84.67665,57.986821
2011-04-08 2:30,-84.663165,57.999633
2011-04-08 3:00,-84.646356,58.00771
2011-04-08 3:30,-84.633679,57.993039
2011-04-08 4:00,-84.610116,57.999199
2011-04-08 4:30,-84.603728,58.003927
2011-04-08 5:00,-84.581345,58.010178
2011-04-08 5:30,-84.553933,58.019978
2011-04-08 6:00,-84.539491,58.01351
2011-04-08 6:30,-84.54022,58.013986
2011-04-08 7:00,-84.536685,58.018313
2011-04-08 7:30,-84.525139,58.017557
2011-04-08 8:00,-84.504008,58.020633
2011-04-08 8:30,-84.498064,58.02068
2011-04-08 9:00,-84.497158,58.02101
2011-04-08 9:30,-84.495713,58.0215
2011-04-08 10:00,-84.493656,58.022121
2011-04-08 10:30,-84.491169,58.022906
2011-04-08 11:00,-84.488596,58.023996
2011-04-08 11:30,-84.466082,58.025984
2011-04-08 12:00,-84.443891,58.029802
2011-04-08 12:30,-84.421982,58.026598
2011-04-08 13:00,-84.398139,58.030419
2011-04-08 13:30,-84.393902,58.033551
2011-04-08 14:00,-84.382915,58.034262
2011-04-08 14:30,-84.372172,58.040973
2011-04-08 15:00,-84.37135,58.043318
2011-04-08 15:30,-84.368455,58.046282
2011-04-08 16:00,-84.35249,58.049014
2011-04-08 16:30,-84.339815,58.047913
2011-04-08 17:00,-84.339129,58.049902
2011-04-08 17:30,-84.338338,58.051802
2011-04-08 18:00,-84.337347,58.053579
2011-04-08 18:30,-84.335578,58.055186
2011-04-08 19:00,-84.333139,58.056551
2011-04-08 19:30,-84.33054,58.057804
2011-04-08 20:00,-84.327332,58.058873
2011-04-08 20:30,-84.323666,58.060004
2011-04-08 21:00,-84.319783,58.061228
2011-04-08 21:30,-84.315305,58.062507
2011-04-08 22:00,-84.304451,58.063414
2011-04-08 22:30,-84.299811,58.064997
2011-04-08 23:00,-84.294854,58.066707
2011-04-08 23:30,-84.290143,58.068486
2011-04-09 0:00,-84.285487,58.07032
2011-04-09 0:30,-84.280287,58.069088
2011-04-09 1:00,-84.275929,58.059062
2011-04-09 1:30,-84.268164,58.048099
2011-04-09 2:00,-84.282288,58.054282
2011-04-09 2:30,-84.279228,58.069305
2011-04-09 3:00,-84.276495,58.070598
2011-04-09 3:30,-84.274336,58.071555
2011-04-09 4:00,-84.272919,58.072109
2011-04-09 4:30,-84.273594,58.073792
2011-04-09 5:00,-84.276599,58.082883
2011-04-09 5:30,-84.296023,58.086046
2011-04-09 6:00,-84.300843,58.085341
2011-04-09 6:30,-84.289552,58.087828
2011-04-09 7:00,-84.286268,58.090525
2011-04-09 7:30,-84.28597,58.089946
2011-04-09 8:00,-84.290843,58.093225
2011-04-09 8:30,-84.291043,58.085801
2011-04-09 9:00,-84.291014,58.08512
2011-04-09 9:30,-84.290756,58.084561
2011-04-09 10:00,-84.296301,58.081124
2011-04-09 10:30,-84.295644,58.081152
2011-04-09 11:00,-84.296533,58.080311
2011-04-09 11:30,-84.295201,58.080981
2011-04-09 12:00,-84.30325,58.083636
2011-04-09 12:30,-84.31632,58.094728
2011-04-09 13:00,-84.318958,58.100781
2011-04-09 13:30,-84.318539,58.102561
2011-04-09 14:00,-84.318492,58.104437
2011-04-09 14:30,-84.31819963,58.10497912
2011-04-09 15:00,-84.318039,58.109769
2011-04-09 15:30,-84.317726,58.12183
2011-04-09 16:00,-84.319871,58.128588
2011-04-09 16:30,-84.338187,58.130437
2011-04-09 17:00,-84.336961,58.131805
2011-04-09 17:30,-84.336297,58.133249
2011-04-09 18:00,-84.335529,58.134624
2011-04-09 18:30,-84.334649,58.135939
